Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Lat,Long_,Active,Combined_Key
Hunan,China,2020-01-28,143,0,0,-19.015438,29.154857,143,"Hunan, China"
Chongqing,China,2020-01-28,132,0,0,-19.015438,29.154857,132,"Chongqing, China"
Jiangxi,China,2020-01-28,109,0,3,-19.015438,29.154857,106,"Jiangxi, China"
Anhui,China,2020-01-28,106,0,0,-19.015438,29.154857,106,"Anhui, China"
Shandong,China,2020-01-28,95,0,0,-19.015438,29.154857,95,"Shandong, China"
Beijing,China,2020-01-28,91,1,4,-19.015438,29.154857,86,"Beijing, China"
Sichuan,China,2020-01-28,90,0,0,-19.015438,29.154857,90,"Sichuan, China"
Fujian,China,2020-01-28,80,0,0,-19.015438,29.154857,80,"Fujian, China"
Jiangsu,China,2020-01-28,70,0,1,-19.015438,29.154857,69,"Jiangsu, China"
Shanghai,China,2020-01-28,66,1,4,-19.015438,29.154857,61,"Shanghai, China"
Guangxi,China,2020-01-28,51,0,2,-19.015438,29.154857,49,"Guangxi, China"
Shaanxi,China,2020-01-28,46,0,0,-19.015438,29.154857,46,"Shaanxi, China"
Yunnan,China,2020-01-28,44,0,0,-19.015438,29.154857,44,"Yunnan, China"
Hainan,China,2020-01-28,40,1,0,-19.015438,29.154857,39,"Hainan, China"
Liaoning,China,2020-01-28,34,0,0,-19.015438,29.154857,34,"Liaoning, China"
Hebei,China,2020-01-28,33,1,0,-19.015438,29.154857,32,"Hebei, China"
Heilongjiang,China,2020-01-28,33,1,0,-19.015438,29.154857,32,"Heilongjiang, China"
Shanxi,China,2020-01-28,27,0,0,-19.015438,29.154857,27,"Shanxi, China"
Tianjin,China,2020-01-28,24,0,0,-19.015438,29.154857,24,"Tianjin, China"
Gansu,China,2020-01-28,19,0,0,-19.015438,29.154857,19,"Gansu, China"
Inner Mongolia,China,2020-01-28,15,0,0,-19.015438,29.154857,15,"Inner Mongolia, China"
Ningxia,China,2020-01-28,11,0,0,-19.015438,29.154857,11,"Ningxia, China"
Xinjiang,China,2020-01-28,10,0,0,-19.015438,29.154857,10,"Xinjiang, China"
Guizhou,China,2020-01-28,9,0,0,-19.015438,29.154857,9,"Guizhou, China"
Jilin,China,2020-01-28,8,0,0,-19.015438,29.154857,8,"Jilin, China"
Taiwan,Taiwan,2020-01-28,8,0,0,-19.015438,29.154857,8,"Taiwan, Taiwan"
Hong Kong,Hong Kong,2020-01-28,8,0,0,-19.015438,29.154857,8,"Hong Kong, Hong Kong"
Macau,Macau,2020-01-28,7,0,0,-19.015438,29.154857,7,"Macau, Macau"
Qinghai,China,2020-01-28,6,0,0,-19.015438,29.154857,6,"Qinghai, China"
Washington,US,2020-01-28,1,0,0,-19.015438,29.154857,1,"Washington, US"
Illinois,US,2020-01-28,1,0,0,-19.015438,29.154857,1,"Illinois, US"
California,US,2020-01-28,2,0,0,-19.015438,29.154857,2,"California, US"
Arizona,US,2020-01-28,1,0,0,-19.015438,29.154857,1,"Arizona, US"
 ,Japan,2020-01-28,7,0,1,-19.015438,29.154857,6," , Japan"
 ,Thailand,2020-01-28,14,0,5,-19.015438,29.154857,9," , Thailand"
 ,South Korea,2020-01-28,4,0,0,-19.015438,29.154857,4," , South Korea"
 ,Singapore,2020-01-28,7,0,0,-19.015438,29.154857,7," , Singapore"
 ,Vietnam,2020-01-28,2,0,0,-19.015438,29.154857,2," , Vietnam"
 ,France,2020-01-28,4,0,0,-19.015438,29.154857,4," , France"
 ,Nepal,2020-01-28,1,0,0,-19.015438,29.154857,1," , Nepal"
 ,Malaysia,2020-01-28,4,0,0,-19.015438,29.154857,4," , Malaysia"
Ontario,Canada,2020-01-28,1,0,0,-19.015438,29.154857,1,"Ontario, Canada"
British Columbia,Canada,2020-01-28,1,0,0,-19.015438,29.154857,1,"British Columbia, Canada"
